,Stamp,Activity_ID,User_ID,Hits,Misses,Max_Hits,GamePlayTime,Scores,Translanguage_Level_1,Translanguage_Level_2,Words,Course_ID,Usefulness
0,2021-10-24 05:09:25,vegetables-yasmin-flashcards-3,0,7,5,7,289.0220198308212,68.2849111902826,1,3,"['corn', '', 'cabbage', 'pumpkin', 'cabbage', 'bellpepper', 'asparagus']",0_1,26.073345687350354
1,2021-10-26 17:47:58,values-all-book-13,0,1,0,1,278.7528933682954,84.35880319072626,1,1,['help'],0_1,16.429010487084156
2,2021-10-28 03:41:49,mycountry-wendy-puzzle-1,0,8,3,8,283.0703968517304,80.1549900726107,1,2,"['one', 'four', 'one', 'five', 'three', 'seven', 'four', 'six']",0_1,18.951298357953494
3,2021-10-31 22:28:19,vegetables-yasmin-flashcards-1,0,5,2,5,282.040740596483,76.84227894167621,1,2,"['potato', 'corn', 'chili', 'chili', 'chili']",0_1,20.938925036514185
4,2021-11-04 00:45:16,pets-yasmin-flashcards-1,0,5,1,5,277.9133868771318,83.37301612662111,1,1,"['dog', 'kitten', 'bunny', 'kitten', 'bunny']",0_1,17.020482725547247
5,2021-11-05 06:53:31,amazonjungle-yasmin-flashcards-1,0,8,3,8,283.17515718446055,80.15074547373483,1,2,"['golden-lion-tamarin', 'golden-lion-tamarin', 'heron', 'golden-lion-tamarin', 'macaw', 'heron', 'monkey', 'monkey']",0_1,18.953845117279016
6,2021-11-09 20:08:24,fruits-wendy-identification-1,0,11,4,12,280.97749667637663,77.65688190035902,1,2,"['papaya', 'coconut', 'pineapple', 'lime', 'papaya', 'apple', 'plum', 'melon', 'dragonfruit', 'guava', 'khaki']",0_1,20.4501632613045
7,2021-11-14 18:09:07,farm-kevin-demovideo-2,0,1,0,1,277.64197833226086,84.37444020923934,1,1,['horse'],0_1,16.41962827597631
8,2021-11-18 19:27:17,values-all-book-3,0,0,1,1,273.1866443683146,4.436525218457693,2,3,[],0_1,64.38237727044529
9,2021-11-23 07:47:25,values-all-book-40,0,1,0,1,285.6656351463617,84.26009763829427,1,1,['stressed'],0_1,16.488233818543353
0,2021-11-24 21:05:13,farm-poiki-videoclip-1,0,1,0,1,276.496551211893,84.39049763033618,1,1,['pig'],0_2,18.57381194818914
1,2021-11-28 12:44:36,pets-yasmin-flashcards-2,0,5,4,6,284.29118892677377,55.81694277498619,1,3,"['parrot', 'bunny', 'fish', 'tortoise', 'fish']",0_2,35.71794486139914
2,2021-12-03 00:40:58,vegetables-poiki-identification-1,0,12,8,12,275.9815558124483,73.90073100550056,1,3,"['mushroom', 'potato', 'chili', 'pumpkin', 'zucchini', 'onion', 'mushroom', 'zucchini', 'bellpepper', 'red-onions', 'pumpkin', 'corn']",0_2,24.867671923090516
3,2021-12-06 10:50:14,values-all-book-15,0,1,0,1,277.24218860686744,84.38005229046851,1,1,['hello'],0_2,18.580079152109743
4,2021-12-08 19:34:16,who-wendy-demovideo-1,0,1,0,1,284.2231301510159,84.28089448105322,1,1,['lego'],0_2,18.639573837758917
5,2021-12-09 07:44:02,values-all-book-24,0,0,1,1,284.5432119537242,4.276288895442724,2,3,[],0_2,66.64233718912521
6,2021-12-11 11:54:48,cristmas-colors-game-1,0,6,3,6,276.6360760778068,74.7496965045602,1,2,"['white', 'red', 'black', 'blue', 'black', 'yellow']",0_2,24.358292623654727
7,2021-12-14 13:17:47,vegetables-wendy-identification-1,0,12,9,12,277.94975153398724,71.13852003399941,1,3,"['corn', 'chili', 'broccoli', 'mushroom', 'cucumber', 'chayote', 'potato', 'carrot', 'chayote', 'lettuce', 'kale', 'eggplant']",0_2,26.524998505991203
8,2021-12-19 02:56:04,amazonjungle-yasmin-flashcards-3,0,8,8,10,270.5202343778601,52.545504223371815,1,3,"['fugu', 'agouti', 'seriema', 'giant-anteater', 'heron', 'turdus', 'fugu', 'crocodile']",0_2,37.68080799236776
9,2021-12-23 23:00:07,values-all-book-14,0,1,0,1,281.62342705986157,84.31810900050998,1,1,['help'],0_2,18.617245126084864
0,2021-12-26 08:19:16,dinosaurs-all-puzzle-2 ,0,7,2,8,266.749053782469,74.79710234971508,1,1,"['one', 'seven', 'five', 'eight', 'four', 'six', 'four']",0_3,22.354091972291982
1,2021-12-30 16:13:55,colors-wendy-game-2,0,8,5,8,273.0831802230247,72.55243246230303,1,3,"['green', 'brown', 'circle', 'square', 'white', 'brown', 'orange', 'beige']",0_3,23.70089390473921
2,2021-12-31 23:34:00,fruits-kevin-identification-1,0,12,8,12,280.9978255724261,73.65588072154672,1,3,"['banana', 'lemon', 'grapes', 'orange', 'tomato', 'banana', 'orange', 'banana', 'kiwi', 'orange', 'banana', 'grapes']",0_3,23.038824949192993
3,2022-01-05 00:14:52,values-all-book-30,0,1,0,1,281.4919937426643,84.31998137569457,1,1,['bed'],0_3,16.640364556704288
4,2022-01-07 18:10:11,forestanimals-kevin-3,0,0,1,1,281.18834788558905,4.3243037173218095,2,3,[],0_3,64.63777115172795
5,2022-01-07 19:55:58,fruits-kevin-identification-1,0,12,3,12,279.7415138145272,87.05095013630613,1,1,"['tomato', 'kiwi', 'banana', 'kiwi', 'tomato', 'lemon', 'grapes', 'orange', 'banana', 'banana', 'grapes', 'grapes']",0_3,15.001783300337351
6,2022-01-11 10:22:29,values-all-book-12,0,1,0,1,282.835281860171,84.30080395472991,1,1,['orange'],0_3,16.651871009283077
7,2022-01-13 10:18:42,mycountry-wendy-videoclip-1,0,1,0,1,282.435370730248,84.30652282067864,1,1,['little'],0_3,16.648439689713847
8,2022-01-17 13:22:17,vegetables-yasmin-flashcards-2,0,6,4,6,273.26641247101225,69.53118853889679,1,3,"['carrot', 'broccoli', 'cauliflower', 'onion', 'cabbage', 'potato']",0_3,25.513640258782956
9,2022-01-20 21:37:32,values-all-book-25,0,1,0,1,279.2348835629405,84.35199936978162,1,1,['eat'],0_3,16.621153760252053
0,2022-01-20 21:50:24,daycare-all-book-1,0,1,0,1,278.7963521960221,84.3581902037791,1,1,['doll'],0_4,13.46862360555203
1,2022-01-23 09:08:47,theatre-all-videoclip-1,0,1,0,1,279.69186798952177,84.3455376773306,1,1,['five'],0_4,13.476215121421134
2,2022-01-27 17:20:10,colors-poiki-game-3,0,8,6,8,273.26476856009174,68.5453335428442,1,3,"['circle', 'white', 'black', 'circle', 'star', 'green', 'star', 'black']",0_4,22.95633760211297
3,2022-01-28 22:40:52,fruits-yasmin-flashcards-3,0,7,2,7,279.9614410456364,82.34425688285042,1,2,"['cherry', 'lime', 'lemon', 'avocado', 'pear', 'tomato', 'orange']",0_4,14.676983598109242
4,2022-01-30 13:46:59,values-all-book-29,0,1,0,1,285.8774481843385,84.25703502862304,1,1,['disgusting'],0_4,13.52931671064567
5,2022-02-03 22:19:07,values-all-book-22,0,1,0,1,278.2331415613773,84.3661268865985,1,1,['happy'],0_4,13.463861595860397
6,2022-02-04 21:19:25,vegetables-yasmin-identification-1,0,12,6,12,274.6955457166454,79.29612580136583,1,2,"['potato', 'corn', 'mushroom', 'chili', 'onion', 'bellpepper', 'lettuce', 'chili', 'broccoli', 'mushroom', 'cassava', 'chili']",0_4,16.505862246999992
7,2022-02-07 17:30:03,farm-poiki-demovideo-4,0,1,0,1,270.7846522492168,84.46958024797514,1,1,['lettuce'],0_4,13.401789579034405
8,2022-02-08 22:12:35,vegetables-yasmin-identification-1,0,11,7,12,280.8046408414911,69.66539195954053,1,3,"['lettuce', 'broccoli', 'onion', 'cassava', 'chili', 'onion', 'lettuce', 'mushroom', 'chili', 'chili', 'mushroom']",0_4,22.284302552095177
9,2022-02-13 18:23:32,science-wendy-puzzle-1,0,8,4,8,280.3670611316706,76.26397857360533,1,2,"['six', 'seven', 'one', 'three', 'four', 'seven', 'four', 'four']",0_4,18.325150583656296
0,2021-09-26 02:55:16,fruits-wendy-identification-1,1,10,7,12,352.22883111599805,59.03637734586923,1,3,"['strawberry', 'mango', 'annona', 'blueberries', 'strawberry', 'tomato', 'banana', 'peach', 'kiwi', 'kiwi']",1_0,35.859191387907046
1,2021-09-28 08:46:30,colors-kevin-game-4,1,8,4,8,347.5316409381896,73.24635636104736,1,2,"['green', 'brown', 'yellow', 'gray', 'gray', 'green', 'orange', 'blue']",1_0,27.333203978800164
2,2021-09-28 18:31:29,vegetables-yasmin-flashcards-2,1,4,3,6,358.8212586861498,44.84675397947895,1,2,"['eggplant', 'mushroom', 'broccoli', 'corn']",1_0,44.372965407741205
3,2021-09-30 09:01:50,values-all-book-29,1,1,0,1,351.2709637370334,83.2029751626178,1,1,['eat'],1_0,21.359232697857898
4,2021-10-02 22:04:51,pirates-all-puzzle-2 ,1,8,2,8,340.9729663670427,81.56947195184254,1,1,"['one', 'one', 'two', 'five', 'five', 'six', 'eight', 'one']",1_0,22.33933462432305
5,2021-10-07 14:06:55,farm-poiki-videoclip-2,1,1,0,1,346.4549768340988,83.28798323218622,1,1,['dog'],1_0,21.308227856116847
6,2021-10-08 03:17:53,cristmas-colors-game-2,1,5,5,8,351.4480535048656,39.05047731717471,1,3,"['white', 'yellow', 'purple', 'purple', 'yellow']",1_0,47.85073140512375
7,2021-10-10 21:32:51,fruits-kevin-identification-1,1,10,4,12,346.24100966959605,67.40289686652912,1,2,"['apple', 'apple', 'kiwi', 'kiwi', 'lemon', 'orange', 'orange', 'grapes', 'grapes', 'lemon']",1_0,30.839279675511108
8,2021-10-14 10:25:51,values-all-book-39,1,0,1,1,344.77491071411885,3.3173623579932996,2,3,[],1_0,69.2906003806326
9,2021-10-17 04:13:09,values-all-book-33,1,1,0,1,361.75284473351286,83.01390053954636,1,1,['help'],1_0,21.472677471700766
0,2021-09-23 00:21:51,values-all-book-33,2,1,0,1,326.33043555949035,83.63050844358587,1,1,['help'],2_0,17.02750329980117
1,2021-09-25 17:17:19,vegetables-yasmin-flashcards-2,2,6,3,6,322.30557433506846,73.0546704919221,1,2,"['broccoli', 'red-onions', 'cauliflower', 'cabbage', 'cassava', 'red-onions']",2_0,23.373006070799434
2,2021-09-30 13:02:19,fruits-yasmin-flashcards-3,2,5,4,7,321.10253827878586,48.689113662642484,1,3,"['grapes', 'mango', 'peach', 'tomato', 'banana']",2_0,37.9923401683672
3,2021-10-03 13:30:36,values-all-book-39,2,1,0,1,333.4811202628179,83.51114879446395,1,1,['disgusting'],2_0,17.09911908927432
4,2021-10-06 12:06:59,values-all-book-29,2,1,0,1,319.63037666859793,83.73999852505851,1,1,['disgusting'],2_0,16.961809250917586
5,2021-10-08 17:36:13,colors-kevin-game-4,2,6,6,8,311.8368273688275,46.93045790261505,1,3,"['gray', 'black', 'green', 'gray', 'blue', 'green']",2_0,39.04753362438366
6,2021-10-11 17:14:39,farm-poiki-videoclip-2,2,1,0,1,312.16116137845773,83.85938050281719,1,1,['farmer'],2_0,16.890180064262378
7,2021-10-13 15:31:08,pirates-all-puzzle-2 ,2,8,4,8,322.425294718811,74.44990980918435,1,2,"['one', 'eight', 'three', 'four', 'three', 'seven', 'three', 'six']",2_0,22.535862480442084
8,2021-10-16 12:41:11,fruits-wendy-identification-1,2,12,5,12,321.6181275678195,79.51069754425673,1,2,"['plum', 'lemon', 'blueberries', 'khaki', 'orange', 'plum', 'red-currant', 'plum', 'avocado', 'avocado', 'pear', 'lemon']",2_0,19.499389839398653
9,2021-10-17 23:36:54,vegetables-yasmin-flashcards-3,2,7,6,7,319.3411286840196,62.47890517463655,1,3,"['', 'zucchini', 'green-onion', 'zucchini', 'celery', 'carrot', 'mushroom']",2_0,29.718465261170763
0,2021-10-18 22:25:50,instruments-yasmin-flashcards-3,2,7,6,7,316.1921330587172,62.61285721998302,1,3,"['guitar', 'flute', 'accordion', 'piano', 'harmonica', 'maracas', 'accordion']",2_1,33.999149063760456
1,2021-10-19 20:55:33,values-all-book-30,2,1,0,1,316.35477670602654,83.79270061307133,1,1,['nap'],2_1,21.29124302790747
2,2021-10-22 22:32:47,values-all-book-27,2,0,1,1,320.9827870036439,3.7180808579483884,2,3,[],2_1,69.33601488098124
3,2021-10-26 05:26:03,farm-poiki-videoclip-1,2,1,0,1,325.2376622062303,83.64852118836261,1,1,['sheep'],2_1,21.377750682732703
4,2021-10-28 14:42:29,mycountry-wendy-puzzle-1,2,7,6,8,314.40844037839184,56.81522273131101,1,3,"['eight', 'five', 'four', 'six', 'four', 'five', 'eight']",2_1,37.47772975696366
5,2021-10-29 01:34:27,environment-kevin-identification-1,2,11,8,12,323.7124002761054,64.72559151718599,1,3,"['fishbone', 'poo', 'broken-lightbulb', 'banana-peel', 'broken-lightbulb', 'plastic-bottle', 'poo', 'paper-box', 'fishbone', 'milk-box', 'broken-lightbulb']",2_1,32.73150848543868
6,2021-11-01 20:34:34,vegetables-poiki-identification-1,2,12,5,12,318.80161724089265,79.66877017136525,1,2,"['cauliflower', 'red-onions', 'cassava', 'bellpepper', 'onion', 'corn', 'mushroom', 'chayote', 'chili', 'red-onions', 'broccoli', 'kale']",2_1,23.765601292931116
7,2021-11-06 05:52:36,professions-all-puzzle-1,2,9,9,10,317.44710029945963,55.13818708091719,1,3,"['one', 'two', 'eight', 'seven', 'six', 'six', 'eight', 'four', 'seven']",2_1,38.48395114719996
8,2021-11-10 20:46:13,feelings-yasmin-flashcards-2,2,6,4,6,313.60128671451474,68.06433576552341,1,3,"['confused', 'confused', 'happy', 'shy', 'annoyed', 'happy']",2_1,30.728261936436223
9,2021-11-15 01:57:08,vegetables-wendy-identification-1,2,10,10,12,325.14467746297424,52.644147960575104,1,3,"['chili', 'radish', 'mushroom', 'cassava', 'brussels-sprouts', 'mushroom', 'celery', 'asparagus', 'cucumber', 'potato']",2_1,39.98037461940521
0,2021-11-19 13:49:23,values-all-book-31,2,0,1,1,319.63856496219995,3.739866100968099,2,3,[],2_2,70.79264901885358
1,2021-11-24 04:40:53,feelings-all-videoclip-1,2,0,1,1,315.3362954460281,3.808976616338196,2,3,[],2_2,70.75118270963151
2,2021-11-26 21:38:27,colors-poiki-game-3,2,5,4,8,313.2663435065253,44.86651744431171,1,2,"['red', 'yellow', 'yellow', 'red', 'blue']",2_2,46.116658212847405
3,2021-11-28 20:40:59,mycountry-wendy-videoclip-1,2,1,0,1,308.41435346253877,83.91820335144226,1,1,['sky'],2_2,22.685646668569074
4,2021-12-02 09:24:09,fruits-kevin-identification-1,2,10,6,12,325.40300625105544,63.29608700787286,1,2,"['banana', 'grapes', 'tomato', 'tomato', 'orange', 'grapes', 'grapes', 'grapes', 'tomato', 'banana']",2_2,35.05891647471071
5,2021-12-03 18:34:07,values-all-book-26,2,1,0,1,323.4420382988431,83.67798817143333,1,1,['scared'],2_2,22.829775776574433
6,2021-12-07 20:03:13,forestanimals-kevin-3,2,1,0,1,318.3302977354621,83.76098085038456,1,1,['owl'],2_2,22.779980169203697
7,2021-12-12 02:04:48,vegetables-yasmin-flashcards-1,2,5,2,5,319.91090107266723,75.55274214890719,1,2,"['beetroot', 'eggplant', 'potato', 'corn', 'corn']",2_2,27.70492339009012
8,2021-12-16 13:34:23,weather-all-puzzle-1,2,9,8,10,333.2590657061331,57.51507160997402,1,3,"['one', 'five', 'nine', 'one', 'one', 'five', 'eight', 'four', 'eight']",2_2,38.52752571345002
9,2021-12-19 12:26:30,fruits-kevin-identification-1,2,12,7,12,325.6379393869282,73.94934971250704,1,3,"['banana', 'orange', 'tomato', 'apple', 'orange', 'grapes', 'banana', 'kiwi', 'lemon', 'apple', 'lemon', 'banana']",2_2,28.6669588519302
0,2021-12-24 06:30:13,fruits-yasmin-identification-1,2,10,8,12,323.17759615373245,58.08924321652317,1,3,"['grapes', 'blueberries', 'orange', 'melon', 'melon', 'peach', 'pear', 'plum', 'lemon', 'mango']",2_3,33.09829010985324
1,2021-12-27 04:09:24,cristmas-colors-game-1,2,6,2,6,320.51317579088106,78.45940226654419,1,2,"['yellow', 'green', 'green', 'black', 'yellow', 'yellow']",2_3,20.876194679840623
2,2021-12-29 10:18:47,vegetables-yasmin-identification-1,2,10,3,12,328.4809078641408,71.11971242612613,1,1,"['eggplant', 'cauliflower', 'potato', 'eggplant', 'corn', 'eggplant', 'potato', 'carrot', 'corn', 'broccoli']",2_3,25.28000858409146
3,2022-01-01 17:38:01,history-all-puzzle-1,2,10,6,10,319.49151362722563,72.63401381761474,1,3,"['six', 'five', 'five', 'five', 'eight', 'three', 'three', 'seven', 'six', 'four']",2_3,24.37142774919829
4,2022-01-06 17:16:23,values-all-book-25,2,1,0,1,320.09639692256536,83.73245647681262,1,1,['food'],2_3,17.712362153679567
5,2022-01-11 07:23:41,vegetables-yasmin-identification-1,2,12,4,12,323.0596359636558,82.09592370238805,1,2,"['eggplant', 'lettuce', 'cauliflower', 'eggplant', 'beetroot', 'carrot', 'lettuce', 'beetroot', 'broccoli', 'carrot', 'carrot', 'beetroot']",2_3,18.694281818334307
6,2022-01-15 06:41:00,values-all-book-32,2,0,1,1,313.2925163720848,3.8414792248739262,2,3,[],2_3,65.64694850484278
7,2022-01-15 16:39:18,values-all-book-38,2,1,0,1,316.21064569787416,83.79500710989043,1,1,['happy'],2_3,17.674831773832874
8,2022-01-18 18:16:36,vegetables-poiki-3,2,1,0,1,319.7495795285759,83.73807039786459,1,1,['pumpkin'],2_3,17.708993801048383
9,2022-01-21 04:44:18,forestanimals-kevin-4,2,1,0,1,322.16839254124835,83.6987903671837,1,1,['frog'],2_3,17.73256181945691
0,2021-09-20 13:52:25,easter-colors-game-3,3,8,3,8,247.63341138082544,81.50067675698202,1,2,"['blue', 'gray', 'beige', 'red', 'red', 'yellow', 'gray', 'white']",3_0,14.811974905896829
1,2021-09-24 19:21:05,farm-yasmin-flashcards-3,3,7,3,7,247.73707076414678,78.91100402835144,1,2,"['duckling', 'turkey', 'rooster', 'goatling', 'duckling', 'ox', 'sheep']",3_0,16.365778543075173
2,2021-09-26 00:35:03,values-all-book-22,3,1,0,1,252.11479877803976,84.71655302342252,1,1,['happy'],3_0,12.882449146032528
3,2021-09-29 16:25:58,polar-yasmin-flashcards-2,3,6,3,6,249.47493495661186,75.63520149988305,1,2,"['seagull', 'penguin', 'sealion', 'penguin-baby', 'walrus', 'penguin-baby']",3_0,18.331260060156207
4,2021-09-30 06:33:29,values-all-book-6,3,1,0,1,253.93050326976243,84.69330829094335,1,1,['afraid'],3_0,12.89639598552003
5,2021-10-01 09:05:00,values-all-book-20,3,1,0,1,253.6643372004889,84.69672619507425,1,1,['stressed'],3_0,12.89434524304149
6,2021-10-05 08:30:12,fruits-yasmin-flashcards-1,3,5,2,5,262.66934123602266,77.43917869212919,1,2,"['peach', 'peach', 'apple', 'raspberry', 'kiwi']",3_0,17.248873744808527
7,2021-10-07 00:28:49,vegetables-poiki-identification-1,3,12,9,12,243.78517353234696,72.70061193320907,1,3,"['lettuce', 'red-onions', 'mushroom', 'pumpkin', 'cassava', 'celery', 'cabbage', 'cucumber', 'zucchini', 'carrot', 'chili', 'mushroom']",3_0,20.092013800160593
8,2021-10-11 02:27:26,mycountry-wendy-puzzle-1,3,8,2,8,248.71117283149093,85.46239949067395,1,1,"['seven', 'five', 'two', 'one', 'one', 'two', 'six', 'one']",3_0,12.434941265681672
9,2021-10-11 14:35:56,pirate-all-puzzle-1,3,8,3,8,249.48494398281795,81.4348160871801,1,2,"['one', 'two', 'four', 'seven', 'six', 'eight', 'five', 'seven']",3_0,14.851491307777982
0,2021-10-12 08:13:51,farm-poiki-demovideo-2,3,1,0,1,248.76582133843846,84.75898921851905,1,1,['broccoli'],3_1,14.908353511816552
1,2021-10-15 20:01:12,values-all-book-40,3,1,0,1,251.49989872353774,84.72438719203694,1,1,['stressed'],3_1,14.929114727705814
2,2021-10-16 01:31:04,amazonjungle-yasmin-flashcards-1,3,8,2,8,251.1234179883649,85.37612493493944,1,1,"['golden-lion-tamarin', 'jaguar', 'heron', 'golden-lion-tamarin', '', 'toucan', 'toucan', 'sloth']",3_1,14.538072081964316
3,2021-10-18 22:27:05,pets-yasmin-flashcards-1,3,5,2,5,259.6057101772738,77.5296916449839,1,2,"['kitten', 'bunny', 'dog', 'cat', 'kitten']",3_1,19.24593205593764
4,2021-10-23 11:43:30,theatre-all-videoclip-1,3,0,1,1,255.05522834902413,4.678825843066025,2,3,[],3_1,62.95645153708837
5,2021-10-26 03:53:58,farm-poiki-demovideo-2,3,1,0,1,252.79963006830963,84.7078053741155,1,1,['broccoli'],3_1,14.939063818458683
6,2021-10-29 13:38:24,fruits-kevin-identification-1,3,12,6,12,256.8372307502512,80.12798751883193,1,2,"['kiwi', 'lemon', 'lemon', 'banana', 'tomato', 'tomato', 'tomato', 'orange', 'tomato', 'grapes', 'kiwi', 'kiwi']",3_1,17.68695453162882
7,2021-10-29 16:54:53,values-all-book-13,3,1,0,1,252.22567007716006,84.71513842574352,1,1,['help'],3_1,14.93466398748187
8,2021-11-01 21:11:04,mycountry-yasmin-videoclip-2,3,1,0,1,263.6981240301003,84.56540048095326,1,1,['spider'],3_1,15.024506754356025
9,2021-11-04 22:01:05,values-all-book-3,3,1,0,1,251.68952455610832,84.72197329361094,1,1,['sad'],3_1,14.930563066761414
0,2021-11-07 19:12:07,cristmas-colors-game-1,3,5,3,6,247.79854802260346,62.353525880202106,1,2,"['red', 'red', 'black', 'white', 'white']",3_2,32.78286164872263
1,2021-11-09 18:12:56,cristmas-colors-game-3,3,8,2,8,251.82488591348752,85.35088047140921,1,1,"['red', 'yellow', 'purple', 'red', 'gray', 'gray', 'green', 'gray']",3_2,18.98444889399837
2,2021-11-11 14:42:07,values-all-book-14,3,0,1,1,255.2724599638947,4.676021299765056,2,3,[],3_2,67.38936439698486
3,2021-11-16 12:26:05,fruits-wendy-identification-1,3,11,6,12,252.98548012342687,73.6334117695922,1,2,"['nashi', 'mango', 'orange', 'peach', 'blueberries', 'guava', 'plum', 'apple', 'papaya', 'strawberry', 'coconut']",3_2,26.01493011508858
4,2021-11-16 16:52:18,fruits-poiki-3,3,1,0,1,254.95761570327605,84.68008528220258,1,1,['strawberry'],3_2,19.386926007522344
5,2021-11-16 19:32:18,pets-yasmin-flashcards-2,3,6,2,6,244.62337506631548,81.11708063340123,1,2,"['kitten', 'dog', 'parakeet', 'hamster', 'parrot', 'parrot']",3_2,21.524728796803156
6,2021-11-21 14:55:47,amazonjungle-yasmin-flashcards-3,3,10,5,10,249.21162592863305,79.03148524016056,1,2,"['seriema', 'heron', 'macaw', 'ocelot', 'giant-otter', 'maned-wolf', 'tapir', 'macaw', 'macaw', 'jaguar']",3_2,22.776086032747557
7,2021-11-22 13:11:43,values-all-book-15,3,1,0,1,247.53623662548435,84.77442734227819,1,1,['goodbye'],3_2,19.330320771476984
8,2021-11-23 04:07:52,values-all-book-24,3,1,0,1,248.38131180321045,84.76382517117462,1,1,['angry'],3_2,19.336682074139127
9,2021-11-24 05:28:09,mycountry-wendy-videoclip-1,3,0,1,1,249.88842587937364,4.744827488716906,2,3,[],3_2,67.34808068361374
0,2021-11-28 05:37:40,vegetables-yasmin-identification-1,3,12,6,12,254.71354221819462,80.22319261084635,1,2,"['broccoli', 'potato', 'cassava', 'corn', 'potato', 'corn', 'broccoli', 'potato', 'eggplant', 'corn', 'cassava', 'chili']",3_3,21.695858326226947
1,2021-12-02 22:08:04,values-all-book-12,3,0,1,1,244.93825084072014,4.806794941971577,2,3,[],3_3,66.94569692755182
2,2021-12-03 00:56:10,farm-poiki-demovideo-4,3,1,0,1,252.08022352403256,84.71699403899014,1,1,['potato'],3_3,18.99957746934068
3,2021-12-05 04:04:49,seanimals-yasmin-video-4,3,0,1,1,257.0783264077105,4.652614447059481,2,3,[],3_3,67.03820522449908
4,2021-12-05 16:19:54,vegetables-yasmin-flashcards-3,3,7,3,7,245.1642950824462,78.99588316445133,1,2,"['lettuce', '', 'peas', 'cucumber', 'yam', 'beetroot', 'cauliflower']",3_3,22.432243994063963
5,2021-12-06 23:35:24,dinosaurs-all-puzzle-2 ,3,8,6,8,255.0407821380032,69.23424520596109,1,3,"['two', 'six', 'two', 'three', 'four', 'five', 'five', 'two']",3_3,28.28922676915811
6,2021-12-08 02:09:37,values-all-book-30,3,1,0,1,257.57481161473703,84.64615030450814,1,1,['nap'],3_3,19.04208371002988
7,2021-12-11 07:51:45,vegetables-wendy-identification-1,3,12,7,12,253.96559431179907,77.58986826963097,1,3,"['', 'eggplant', 'asparagus', 'green-onion', '', 'potato', 'pumpkin', 'zucchini', 'cassava', 'chayote', 'zucchini', 'okra']",3_3,23.27585293095618
8,2021-12-13 01:58:04,farm-kevin-demovideo-1,3,1,0,1,261.30543290577094,84.59717938175616,1,1,['yellow'],3_3,19.071466263681064
9,2021-12-13 23:40:42,values-all-book-25,3,1,0,1,246.07051807002847,84.79273031645577,1,1,['hungry'],3_3,18.954135702861297
0,2021-09-22 07:28:22,farm-poiki-videoclip-2,4,1,0,1,277.33111749320113,84.37880464325212,1,1,['farmer'],4_0,17.702487168003962
1,2021-09-22 12:16:30,values-all-book-4,4,0,1,1,280.43765735460835,4.334969632700382,2,3,[],4_0,65.72878817433501
2,2021-09-23 00:27:47,values-all-book-33,4,1,0,1,284.69373437841153,84.27412126983634,1,1,['help'],4_0,17.76529719205343
3,2021-09-27 23:07:48,values-all-book-12,4,1,0,1,275.6986877402124,84.40164342985771,1,1,['purple'],4_0,17.688783896040608
4,2021-09-28 23:07:44,fruits-yasmin-flashcards-3,4,7,6,7,281.1469320603558,64.01401963780225,1,3,"['plum', 'pineapple', 'orange', 'peach', 'kiwi', 'mango', 'mango']",4_0,29.921358171273887
5,2021-09-30 18:14:00,values-all-book-10,4,1,0,1,276.55158285375074,84.3897276752566,1,1,['nap'],4_0,17.69593334880128
