,User_ID,Activity_ID,No_of_attempts,Time_taken,Activity_score,Status,Act_Translanguage_Level
0,5,birthday-wendy-simulation-1,3,263.1108245523149,2.901806784500236,Pass,2.450903392250118
1,5,lab-wendy-puzzle-1,1,273.86868653137543,2.840547146155371,Pass,2.645725269202744
2,5,country-none-book-1,4,262.8312888676636,2.7028033628430848,Pass,2.6742643160229145
3,5,insects-roulette-1,1,272.4608662529326,2.6568509652186103,Pass,2.6655576406207624
4,5,country-wendy-videoclip-1,2,268.5142654960481,2.872778817215807,Pass,2.769168228918285
5,5,farm-poiki-video-2,2,272.6179781309165,2.718116663311621,Pass,2.743642446114953
6,5,jungle-yasmin-puzzle-1,2,264.8009116562061,2.5473969591013956,Pass,2.6455197026081745
7,5,country-none-book-4,2,255.25486651929026,2.573763778602287,Pass,2.609641740605231
8,5,newbaby-poiki-hotspot-1,2,261.1053089746958,2.5878546533974363,Pass,2.5987481970013335
9,5,who-wendy-routine-2,2,264.2072126772092,2.7505384811884737,Pass,2.674643339094904
0,6,yho-yasmin-tracing-1,1,250.93588167834596,2.769864535406093,Pass,2.8849322677030464
1,6,farm-poiki-video-2,3,230.17110346528239,2.552493105702739,Pass,2.718712686702893
2,6,country-none-book-4,2,239.13877025055686,2.836964545987205,Pass,2.777838616345049
3,6,country-none-book-1,1,249.5770369688633,2.86251314868246,Pass,2.8201758825137544
4,6,lab-kevin-game-1,2,243.6125461937805,2.762415230264164,Pass,2.791295556388959
5,6,lab-wendy-shapes-1,2,250.11084053020357,2.607154737146577,Pass,2.699225146767768
6,6,farm-poiki-video-1,2,247.41217430020004,2.4631947001624726,Pass,2.5812099234651202
7,6,shapes-poiki-sequence-1,1,249.67181953762642,2.9728145038828364,Pass,2.777012213673978
8,6,cooking-kevin-simulation-2,1,253.71599326596422,2.733245910003636,Pass,2.755129061838807
9,6,farm-poiki-video-1,1,251.07929733105513,2.6277763548172413,Pass,2.691452708328024
0,7,fruits-yasmin-flashcards-1,2,235.06940777285456,2.5211429310082574,Pass,2.2605714655041287
1,7,who-wendy-book-2,2,247.77864449965395,3.041807563036987,Pass,2.651189514270558
2,7,farm-poiki-video-1,3,236.58329980234186,2.6139167177126663,Pass,2.6325531159916125
3,7,who-wendy-book-2,2,249.97558287659143,2.8213325195131027,Pass,2.7269428177523576
4,7,desertanimals-memory-1,2,242.61937391372234,2.957054513682185,Pass,2.8419986657172713
5,7,farm-wendy-simulation-2,1,249.37055978393911,3.021804278021058,Pass,2.931901471869165
6,7,feelings-memory-1,2,248.24636141335665,2.836276428982222,Pass,2.8840889504256935
7,7,farm-poiki-book-1,2,249.46740860723352,2.715722249419427,Pass,2.7999055999225604
8,7,yho-yasmin-tracing-1,1,252.17002665433202,2.8265315842576397,Pass,2.8132185920901
9,7,who-wendy-demovideo-1,1,251.93765605417343,2.6897842989420084,Pass,2.7515014455160545
0,8,who-wendy-book-1,2,296.5340893271778,3.103423813130869,Pass,3.0517119065654343
1,8,foodsl-roulette-1,2,296.0294128359255,3.4120392168219236,Pass,3.2318755616936787
2,8,farm-poiki-video-2,2,290.3318345156319,3.4822556273524405,Pass,3.3570655945230596
3,8,farm-poiki-video-2,2,301.4263884186771,3.044947540045551,Pass,3.2010065672843053
4,8,alphabet-kevin-tracing-1,1,306.89331201977365,3.598256591385587,Pass,3.399631579334946
5,8,who-all-videoclip-1,1,305.3501943870082,3.2894466342925046,Pass,3.344539106813725
6,8,farm-poiki-video-1,2,294.94130049558396,3.5843165799749923,Pass,3.4644278433943585
7,8,farm-poiki-video-1,2,297.36187626068465,3.374831375416004,Pass,3.419629609405181
8,8,beach-bingo-1,3,295.40479649425106,3.3286232726280427,Pass,3.374126441016612
9,8,lab-wendy-shapes-1,2,310.2633436975779,3.243319448482236,Pass,3.308722944749424
0,9,foods-poiki-hotspot-1,1,256.16959436472155,2.621763152239518,Pass,2.810881576119759
1,9,mycountry-yasmin-coloring-1,1,246.4678685344595,2.4995217325858237,Pass,2.6552016543527914
2,9,farm-poiki-video-2,3,242.99105329529706,2.688914336706377,Pass,2.6720579955295842
3,9,farm-poiki-book-1,2,242.23234126367868,2.882526376051371,Pass,2.7772921857904773
4,9,birthday-wendy-simulation-1,2,249.48630648632025,2.8252938617062178,Pass,2.8012930237483475
5,9,country-none-book-1,2,240.66239479796656,2.455024216715918,Pass,2.6281586202321328
6,9,newbaby-poiki-hotspot-1,1,255.15941926014457,2.6297930143017108,Pass,2.6289758172669218
7,9,farm-poiki-simulation-1,2,245.16805884696623,2.882438966010442,Pass,2.7557073916386816
8,9,cooking-poiki-simulation-1,1,252.67593115962165,2.9995331789609514,Pass,2.8776202852998165
9,9,seanimals-yasmin-hotspot-1,1,250.68718882875166,2.2954183023908903,Pass,2.5865192938453534
0,10,farm-poiki-video-2,2,257.5901228005443,2.7792282091389833,Pass,2.3896141045694916
1,10,foods-poiki-hotspot-1,1,270.9916599222442,2.7056741172384724,Pass,2.547644110903982
2,10,farm-poiki-simulation-1,4,253.46846064565142,2.395291410550364,Pass,2.4714677607271733
3,10,newbaby-poiki-hotspot-1,1,267.91216459302063,2.558804533989333,Pass,2.515136147358253
4,10,home-kevin-book-1,4,252.9905687545612,3.0523481060715745,Pass,2.783742126714914
5,10,birthday-wendy-simulation-1,2,254.5858745739295,2.682545725702517,Pass,2.733143926208715
6,10,seanimals-yasmin-hotspot-1,1,271.5536167815117,2.580928462352559,Pass,2.657036194280637
7,10,cooking-poiki-simulation-1,3,260.5808460085906,2.5764331727007566,Pass,2.616734683490697
8,10,country-wendy-videoclip-1,2,265.49726122492484,2.799660289114974,Pass,2.7081974863028355
9,10,farm-poiki-book-1,1,272.12070416688067,2.7515416466647,Pass,2.7298695664837678
0,11,lab-wendy-shapes-1,2,250.45360829178443,3.8361884184617496,Pass,3.418094209230875
1,11,foodsl-roulette-1,1,249.09483596687622,3.660324052257083,Pass,3.539209130743979
2,11,farm-poiki-video-2,2,246.94148546503794,3.9578669021715633,Pass,3.748538016457771
3,11,farm-poiki-video-1,2,249.43585132717064,3.5658954636247637,Pass,3.6572167400412674
4,11,farm-poiki-video-1,2,253.51396261657734,3.9201232683558516,Pass,3.7886700041985595
5,11,alphabet-kevin-tracing-1,1,244.54421564306034,3.5875996620105455,Pass,3.6881348331045523
6,11,who-wendy-book-1,2,244.34847721600178,3.6419514205268193,Pass,3.665043126815686
7,11,farm-poiki-video-2,1,255.32524198284443,3.8832966359700913,Pass,3.7741698813928886
8,11,who-all-videoclip-1,2,251.27964052998263,3.7741944659199578,Pass,3.774182173656423
9,11,beach-bingo-1,1,244.6284154412974,3.3188055999912933,Pass,3.5464938868238582
0,12,alphabet-poiki-tracing-1,1,249.96569333622043,2.7793465167642655,Pass,2.8896732583821327
1,12,farm-poiki-book-1,2,244.00291135625204,2.781840679498087,Pass,2.83575696894011
2,12,veggies-yasmin-flashcards-1,2,243.2775859356882,2.757129572576622,Pass,2.796443270758366
3,12,feelings-memory-1,1,250.03243675674557,2.598675898023392,Pass,2.697559584390879
4,12,who-wendy-book-2,2,245.8637487296523,2.7787079758560336,Pass,2.738133780123456
5,12,farm-poiki-video-1,2,236.1509464995289,2.837930106522635,Pass,2.7880319433230456
6,12,farm-poiki-video-2,2,238.87133330703392,2.790678420287036,Pass,2.789355181805041
7,12,mycountryanimals-yasmin-flashcards-1,1,245.25963737403808,2.490578164254408,Pass,2.6399666730297247
8,12,who-wendy-book-2,1,252.76209584318758,2.4280946420353526,Pass,2.5340306575325386
9,12,farm-poiki-video-1,1,243.70104379871754,2.9763325901467583,Pass,2.7551816238396487
0,13,home-kevin-book-1,2,303.02588009650793,0.45023705232478894,Pass,0.7251185261623945
1,13,lab-wendy-puzzle-1,3,283.448856853566,0.14266084520484246,Pass,0.43388968568361846
2,13,insects-roulette-1,1,310.05201144811355,0.140458744958107,Pass,0.28717421532086274
3,13,jungle-yasmin-puzzle-1,2,295.3262365100608,0.16605342261330477,Pass,0.22661381896708377
4,13,who-wendy-routine-2,1,301.051259377621,0.35816308298118726,Pass,0.2923884509741355
5,13,farm-poiki-video-2,2,290.0946057070469,0.22648038197117132,Pass,0.2594344164726534
6,13,forestanimals-kevin-puzzle-1,1,303.6223612306746,0.376804015792278,Pass,0.31811921613246574
7,13,country-wendy-videoclip-1,3,288.63361986287595,0.03584549335444198,Pass,0.17698235474345386
8,13,birthday-wendy-simulation-1,1,315.6745966544414,0.6034368633530314,Pass,0.39020960904824264
9,13,newbaby-poiki-hotspot-1,2,304.3040816381295,0.3376862083043187,Pass,0.3639479086762807
0,14,farm-poiki-video-2,1,278.15629245473536,1.5008447687153197,Pass,1.7504223843576598
1,14,country-none-book-1,2,275.40660820080143,1.485579525476901,Pass,1.6180009549172805
2,14,mycountry-yasmin-coloring-1,1,284.14687855817533,1.6635488346213907,Pass,1.6407748947693355
3,14,newbaby-poiki-hotspot-1,2,269.17296761869414,1.523065874044061,Pass,1.5819203844066982
4,14,birthday-wendy-simulation-1,2,269.55585949547077,1.554402451083603,Pass,1.5681614177451506
5,14,cooking-poiki-simulation-1,1,281.5961345930608,1.7914735887543216,Pass,1.679817503249736
6,14,seanimals-yasmin-hotspot-1,1,273.9313097345048,1.749229069020557,Pass,1.7145232861351465
7,14,farm-poiki-book-1,3,272.3669612432132,1.681327645152733,Pass,1.6979254656439398
8,14,farm-poiki-simulation-1,2,265.00846027238583,1.3446164633257223,Pass,1.521270964484831
9,14,foods-poiki-hotspot-1,1,273.4013858301665,1.548983431811976,Pass,1.5351271981484036
0,15,birthday-wendy-simulation-1,2,347.1583666187872,1.055950952309167,Pass,1.5279754761545834
1,15,country-none-book-4,3,342.93447782831225,1.2684696354793115,Pass,1.3982225558169474
2,15,who-wendy-routine-2,3,347.3180605017509,1.2825091303192222,Pass,1.340365843068085
3,15,jungle-yasmin-puzzle-1,1,358.9379836360266,1.4416152861974494,Pass,1.3909905646327672
4,15,country-none-book-4,3,347.24869234625623,1.4333028769840295,Pass,1.4121467208083982
5,15,farm-poiki-video-2,4,347.0106090328656,1.2135576233539132,Pass,1.3128521720811557
6,15,newbaby-poiki-hotspot-1,2,352.85328497491554,1.2461796840889319,Pass,1.2795159280850439
7,15,insects-roulette-1,3,348.74888035000396,1.4341326688390232,Pass,1.3568242984620336
8,15,country-none-book-1,2,345.1726671890915,1.5097739462505324,Pass,1.433299122356283
9,15,lab-wendy-puzzle-1,4,337.6107921198249,1.3997300326426625,Pass,1.4165145774994727
0,16,country-none-book-1,3,262.88837241210643,1.620972842719583,Pass,1.8104864213597915
1,16,insects-roulette-1,1,270.7811039546523,1.925441065253998,Pass,1.8679637433068947
2,16,lab-wendy-puzzle-1,2,268.8800864683555,1.4188900185844115,Pass,1.6434268809456531
3,16,birthday-wendy-simulation-1,2,262.84222560315067,1.7867723044758663,Pass,1.7150995927107597
4,16,farm-poiki-video-2,4,269.4455350754068,1.9240667634195368,Pass,1.8195831780651481
5,16,country-none-book-4,1,260.016711352198,1.875629110286406,Pass,1.847606144175777
6,16,jungle-yasmin-puzzle-1,2,258.8080938844963,1.8176108313915544,Pass,1.8326084877836657
7,16,home-kevin-book-1,2,264.81680104781196,1.546201884285329,Pass,1.6894051860344974
8,16,newbaby-poiki-hotspot-1,2,261.5371962837596,2.1366402091847663,Pass,1.9130226976096318
9,16,who-wendy-routine-2,2,267.62078480899066,1.3144378842109177,Pass,1.6137302909102749
0,17,birthday-wendy-simulation-1,1,341.81393442612523,3.3282224692176756,Pass,3.164111234608838
1,17,cooking-poiki-simulation-1,2,316.5415323175028,3.008811464671299,Pass,3.0864613496400684
2,17,foods-poiki-hotspot-1,3,321.1452785067487,3.2754080519179145,Pass,3.1809347007789914
3,17,farm-poiki-video-2,2,321.46634475943745,3.5072209477492913,Pass,3.3440778242641414
4,17,farm-poiki-simulation-1,3,320.36384878640655,3.0801827310928904,Pass,3.212130277678516
5,17,farm-poiki-book-1,4,316.29346366892906,3.227097205417877,Pass,3.2196137415481965
6,17,home-kevin-book-1,3,320.2734357914805,3.3684080598931976,Pass,3.2940109007206972
7,17,newbaby-poiki-hotspot-1,1,335.9053168335767,3.4111604214470606,Pass,3.3525856610838787
8,17,mycountry-yasmin-coloring-1,3,315.19706375390217,3.6202059892133924,Pass,3.4863958251486356
9,17,seanimals-yasmin-hotspot-1,1,335.40534142669395,3.377782616443481,Pass,3.4320892207960583
0,18,birthday-wendy-simulation-1,3,344.43412856659944,1.1583728016044683,Pass,1.579186400802234
1,18,foodsl-roulette-1,2,343.3126512493964,1.3207645781457282,Pass,1.4499754894739811
2,18,jungle-yasmin-puzzle-1,4,352.93694779311915,1.1907283039292982,Pass,1.3203518967016397
3,18,newbaby-poiki-hotspot-1,2,349.17913734712357,1.0275542357870822,Pass,1.173953066244361
4,18,farm-poiki-video-2,2,355.86176243959403,1.273524517511559,Pass,1.22373879187796
5,18,lab-wendy-puzzle-1,4,339.40608101509787,1.5407343220201526,Pass,1.3822365569490564
6,18,forestanimals-kevin-puzzle-1,2,358.1879266246546,1.3687082929149779,Pass,1.3754724249320172
7,18,foods-memory-1,3,349.13417774344157,1.5181217945756806,Pass,1.4467971097538488
8,18,who-wendy-routine-2,3,352.8446529476788,0.9480948472001518,Pass,1.1974459784770004
9,18,farm-kevin-hotspot-1,3,347.49155757202305,0.7978755163572264,Pass,0.9976607474171134
0,19,alphabet-kevin-tracing-1,3,258.2510377963985,2.5497476971041046,Pass,2.274873848552052
1,19,farm-poiki-video-1,1,273.13812501365646,2.7852921906609485,Pass,2.5300830196065003
2,19,farm-poiki-video-2,2,260.91276470220953,2.776539064720019,Pass,2.65331104216326
3,19,lab-wendy-shapes-1,2,257.8238482147861,2.5940945710630934,Pass,2.623702806613177
4,19,farm-poiki-video-1,1,266.3819427638724,3.027280327161022,Pass,2.8254915668870995
5,19,who-all-videoclip-1,4,249.53588695678272,2.9535537432812,Pass,2.88952265508415
6,19,who-wendy-book-1,1,273.7076033353489,2.9249262836856116,Pass,2.9072244693848805
7,19,beach-bingo-1,2,260.0033163538731,2.840350248389485,Pass,2.8737873588871827
8,19,foodsl-roulette-1,2,259.92363063791004,2.5710978793374526,Pass,2.722442619112318
9,19,alphabet-kevin-tracing-1,2,261.7015515523874,2.566801804127963,Pass,2.6446222116201406
0,20,farm-poiki-video-1,2,312.53777111139067,2.5961330299240224,Pass,2.298066514962011
1,20,insects-roulette-1,3,314.2340344412388,2.6141998394518744,Pass,2.456133177206943
2,20,lab-wendy-shapes-1,4,309.80068229985994,2.442026827283925,Pass,2.449080002245434
3,20,country-none-book-4,1,319.0858779729017,2.758389636112151,Pass,2.6037348191787926
4,20,shapes-poiki-sequence-1,4,313.1739945495401,2.2572290400988186,Pass,2.4304819296388054
5,20,lab-kevin-game-1,1,320.17813827868764,2.415083397016731,Pass,2.4227826633277685
6,20,farm-poiki-video-2,3,311.051791993039,2.4535235302528893,Pass,2.438153096790329
7,20,farm-poiki-video-1,3,315.19453803163054,2.47601097594489,Pass,2.457082036367609
8,20,country-none-book-4,1,310.88456093940295,2.7908364309033837,Pass,2.6239592336354964
9,20,country-none-book-1,3,309.14319911438844,2.4287700777250274,Pass,2.526364655680262
0,21,farm-poiki-video-2,2,267.16523058967147,4.081437027983844,Pass,3.540718513991922
1,21,seanimals-yasmin-hotspot-1,2,252.06598007635193,3.8301786649005107,Pass,3.6854485894462163
2,21,country-none-book-1,3,264.11133880668416,4.067760120266977,Pass,3.8766043548565965
3,21,farm-poiki-book-1,2,258.7395592584806,3.5791151653250735,Pass,3.727859760090835
4,21,foods-poiki-hotspot-1,2,272.47230823709475,4.060711148984948,Pass,3.8942854545378918
5,21,farm-poiki-identification-1,3,260.4937508882213,3.912267771954794,Pass,3.9032766132463426
6,21,farm-poiki-simulation-1,2,272.5164613807454,3.4737562183535795,Pass,3.688516415799961
7,21,newbaby-poiki-hotspot-1,3,259.4966432624505,3.2333275999691704,Pass,3.460922007884566
8,21,farm-kevin-hotspot-1,4,264.2188299073039,3.806007811420302,Pass,3.6334649096524343
9,21,birthday-wendy-simulation-1,2,266.403096984641,3.633515199824281,Pass,3.633490054738358
0,22,country-none-book-4,2,260.38358430757575,1.9144831348418287,Pass,1.4572415674209145
1,22,shapes-poiki-sequence-1,1,273.0372727951395,1.674359542500052,Pass,1.5658005549604832
2,22,foodsl-roulette-1,2,265.32362105536555,1.7191862824595279,Pass,1.6424934187100055
3,22,lab-wendy-shapes-1,1,268.8151562061046,1.6493630691628038,Pass,1.6459282439364047
4,22,country-none-book-4,2,257.723766317233,1.5977517551289222,Pass,1.6218399995326633
5,22,farm-poiki-video-2,2,265.0462167107159,1.6205942677826304,Pass,1.6212171336576469
6,22,lab-kevin-game-1,1,264.63427865575596,1.7993311767255091,Pass,1.7102741551915779
7,22,farm-poiki-video-1,1,268.307575999492,1.858525492031206,Pass,1.784399823611392
8,22,country-none-book-1,3,261.83992923816606,1.8433508390979032,Pass,1.8138753313546476
9,22,farm-poiki-video-1,4,252.00112004452114,1.5682995030101137,Pass,1.6910874171823806
0,23,newbaby-poiki-hotspot-1,2,274.0479024055819,1.6260601816167997,Pass,1.8130300908083998
1,23,farm-poiki-video-2,1,285.7961717375397,1.3705684629364403,Pass,1.59179927687242
2,23,farm-poiki-book-1,3,266.6410111829621,1.5280340111814776,Pass,1.559916644026949
3,23,farm-poiki-simulation-1,2,273.2841655756311,1.546340773293664,Pass,1.5531287086603065
4,23,world-yasmin-hotspot-1,1,277.159341068641,1.4983368459798823,Pass,1.5257327773200944
5,23,birthday-wendy-simulation-1,2,277.13835811127984,1.7423558006550195,Pass,1.6340442889875568
6,23,country-none-book-1,1,286.3250264334553,1.6095966642815736,Pass,1.6218204766345652
7,23,farm-wendy-simulation-2,1,281.61612473859714,1.4805094694244807,Pass,1.551164973029523
8,23,veggies-poiki-drawing-1,2,270.79085807990566,1.8147144400663127,Pass,1.6829397065479177
9,23,seanimals-yasmin-hotspot-1,1,283.9155930829529,1.4937901212986384,Pass,1.588364913923278
0,24,country-yasmin-videoclip-1,2,309.8672043926503,1.3222080975640027,Pass,1.1611040487820015
1,24,farm-poiki-book-1,2,315.74979281170766,0.9695034652716088,Pass,1.0653037570268051
2,24,farm-poiki-video-1,3,300.7434524416896,1.6466818119915083,Pass,1.3559927845091568
3,24,who-wendy-book-2,4,310.3549547409513,1.2885572232742792,Pass,1.322275003891718
4,24,farm-poiki-video-2,4,307.862721224269,1.3804729739705346,Pass,1.3513739889311263
5,24,country-wendy-videoclip-1,2,312.9765906673305,1.5633513761325433,Pass,1.4573626825318349
6,24,who-wendy-book-2,4,307.5686942363171,1.4936758038068132,Pass,1.475519243169324
7,24,feelings-memory-1,3,314.7229276950828,1.1827112948239138,Pass,1.329115268996619
8,24,country-wendy-videoclip-1,2,317.5130029065909,1.2207019783139428,Pass,1.274908623655281
9,24,farm-poiki-video-1,3,309.5255397795566,1.6662835597096977,Pass,1.4705960916824892
0,25,shapes-poiki-sequence-1,3,283.13622548033015,2.2404632663475987,Pass,2.120231633173799
1,25,lab-wendy-shapes-1,3,288.0321641890244,2.832571943598891,Pass,2.476401788386345
2,25,farm-poiki-video-2,4,277.2383883009791,2.805733841074734,Pass,2.6410678147305395
3,25,farm-poiki-video-1,3,280.2627616048656,2.604929608855079,Pass,2.6229987117928095
4,25,farm-poiki-video-1,3,283.85043974831666,2.730501665700391,Pass,2.6767501887466003
5,25,country-none-book-2,3,286.36559339963003,2.422296272595709,Pass,2.549523230671155
6,25,foodsl-roulette-1,1,298.1582950551403,2.6733151742767034,Pass,2.611419202473929
7,25,country-none-book-2,2,281.9026030221354,2.9972487988336645,Pass,2.804334000653797
8,25,lab-kevin-game-1,4,272.2930804122758,2.7989037626049704,Pass,2.8016188816293837
9,25,country-yasmin-videoclip-1,3,277.1067204175924,2.7091368251292143,Pass,2.755377853379299
0,26,farm-poiki-simulation-1,2,293.89202008259736,2.4674551854944857,Pass,2.233727592747243
1,26,country-wendy-videoclip-1,2,293.34886608899245,2.5975475958220824,Pass,2.4156375942846626
2,26,country-wendy-videoclip-1,1,310.6680421478934,2.7448865034063137,Pass,2.580262048845488
3,26,birthday-wendy-simulation-1,2,298.1748658180792,2.528315424484851,Pass,2.5542887366651694
4,26,home-kevin-book-1,3,289.8446096000336,2.4782120575615543,Pass,2.516250397113362
5,26,newbaby-poiki-hotspot-1,1,308.56367425433785,2.437981540914925,Pass,2.4771159690141435
6,26,seanimals-yasmin-hotspot-1,2,296.82438197333454,2.204992481104684,Pass,2.3410542250594135
7,26,farm-poiki-video-2,1,296.1281976120098,2.628885568911157,Pass,2.4849698969852856
8,26,farm-poiki-book-1,2,291.3322096239408,2.294110899095419,Pass,2.389540398040352
9,26,country-yasmin-videoclip-1,1,300.0421090845698,2.568496361426732,Pass,2.4790183797335423
0,27,lab-wendy-puzzle-1,1,291.88552133610654,2.6254267695222815,Pass,2.8127133847611407
1,27,country-yasmin-videoclip-1,3,285.1733830310949,2.667177791208977,Pass,2.739945587985059
2,27,country-wendy-videoclip-1,4,282.60903013718575,2.666478503571403,Pass,2.7032120457782307
3,27,jungle-yasmin-puzzle-1,2,285.1814290290417,2.6786870787667976,Pass,2.690949562272514
4,27,home-kevin-book-1,3,282.14988385068347,3.1903091700517225,Pass,2.9406293661621183
5,27,newbaby-poiki-hotspot-1,1,287.9083395905893,2.641907043780693,Pass,2.7912682049714057
6,27,who-wendy-routine-2,4,274.48104672075647,2.6958948256859614,Pass,2.7435815153286836
7,27,farm-poiki-video-2,3,281.0104340360447,2.5960347984005643,Pass,2.669808156864624
8,27,birthday-wendy-simulation-1,2,283.41998322518543,2.919530906262591,Pass,2.7946695315636076
9,27,country-wendy-videoclip-1,3,286.3097319172606,2.735909208087986,Pass,2.7652893698257968
0,28,country-wendy-videoclip-1,2,263.15187717768055,1.5909799636987425,Pass,1.2954899818493713
1,28,farm-poiki-video-1,1,270.9081902632483,2.057627435792563,Pass,1.6765587088209672
2,28,farm-poiki-video-2,1,284.6216490528943,1.8364720790944713,Pass,1.7565153939577192
3,28,farm-poiki-video-1,1,269.95442682149906,1.473497243026042,Pass,1.6150063184918806
4,28,country-wendy-videoclip-1,1,277.1028074290119,1.1523801141751482,Pass,1.3836932163335143
5,28,lab-kevin-game-1,1,282.4829028965084,1.2119384755905025,Pass,1.2978158459620084
6,28,farm-poiki-video-2,3,255.31515585428633,1.539813764490108,Pass,1.418814805226058
7,28,shapes-poiki-sequence-1,3,253.945961625913,1.6645338332251072,Pass,1.5416743192255826
8,28,country-yasmin-videoclip-1,1,274.3578484195056,1.8987673500551274,Pass,1.720220834640355
9,28,lab-wendy-shapes-1,2,275.56528641429315,1.7082019708998875,Pass,1.7142114027701212
0,29,lab-wendy-shapes-1,2,264.4495336274858,2.798543117055912,Pass,2.899271558527956
1,29,country-wendy-videoclip-1,1,267.925852860463,2.8911494968175173,Pass,2.8952105276727367
